Category,Number,Term ,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
Cellular Component,GO:0005925,focal adhesion,47,3.148024113,3.72E-04,"FBLN7, BCAR3, FLT1, TES, PRAG1, SYNPO2, AVIL, FHL2, FAM107A, NEDD9, HSPB1, CD99L2, ALKBH6, LPP, EGFR, PDLIM1, GNA13, GJA1, CDH2, CSRP1, PLAU, CAPN2, ITGB6, TNS3, FZD1, KLF11, SVIL, ANXA1, CAV2, CAV1, STARD8, AFAP1, MSN, SORBS2, SORBS1, PTPN12, ARHGAP31, PPFIBP1, ACTBL2, ITGA11, FAT1, RHOU, VIM, PHLDB2, CD44, EPHA2, SNTB2",1242,431,19595,1.720458732,0.237327933,0.038696685,0.038218948
Biological Process,GO:0051607,defense response to virus,30,2.009377093,4.09E-04,"UNC93B1, IFIT5, IFIT1, RELA, IFI44L, IFIT3, IFIT2, ZC3H12A, CASP1, PMAIP1, FADD, GBP2, IKBKE, GBP3, IFNAR2, APOBEC3D, GBP5, RIPK3, IFNGR1, IL10RB, ABCC9, TICAM1, SLFN11, STING1, IRF1, OAS3, IFNE, IRF7, TLR3, TRIM56",1193,231,18585,2.023165435,0.855131235,0.160926872,0.160313038
Cellular Component,GO:0005615,extracellular space,159,10.64969859,4.55E-04,"OLFML2B, AMY2A, SERPINE2, AMY2B, SCT, COL12A1, LOXL4, DEFB1, CXCL14, MIR106B, FGF2, TNF, ENDOU, EFEMP1, PLAU, LIPH, DPYSL3, TNFSF10, CCN2, IFNAR2, CCBE1, CPA1, IL4R, AMY1A, AMY1B, FST, AMY1C, MIR27B, COL4A2, LOX, COL4A1, HMSD, COL8A1, CARD16, IL6ST, UBA52, CFB, FBLN7, LXN, CFH, KLK5, TNFRSF11B, LTBP2, CD1D, GPR15LG, C3, C5, SFN, NDP, PROM1, S100A11, CPA4, TNFSF18, GSDMD, TNFSF14, FZD4, TFPI2, LIF, MSN, NMI, BMP6, COL1A2, SELL, STAG3, MIR186, ALB, SERPINI2, SP8, HPSE, MELTF, FGF12, DAND5, HLA-DRB1, PCSK1, CXCL6, ORM1, FLT1, SERPINA1, CXCL8, WFIKKN1, TNFAIP6, HSPB1, LAMC2, CXCL1, LRRC32, CXCL3, MSLN, PCSK5, CXCL2, HAPLN2, IL18BP, C1QTNF4, CTSO, IGLV7-46, H2BC21, CASP1, GAST, ACP3, HGFAC, CTSC, EDN1, SERPINB1, FGFBP1, ANXA1, EDN2, SERPINB2, MMP7, IL15, MIR25, IL18, AKR1A1, C1QL1, ACTA2, IL1A, F8, ACTBL2, CEACAM6, OAS3, IFNE, C1QTNF12, PXDN, MMRN2, PECAM1, CFAP58, DNAJC9, VWA2, MFGE8, SMPDL3A, TLR3, SEMA3C, PON1, LCAT, PRELP, PTN, KRT86, THBS1, FSTL1, EGFR, PRRG4, SH3BGRL, SRPX2, FRZB, PATE2, ALOX5, AGR2, CCL2, SLIT2, CBR3, MICB, CCL24, CCL20, BMP8B, KRT10, KISS1, KITLG, PTX3, HDGF, CMTM2, IL17C",1242,1934,19595,1.297072724,0.282579498,0.041502188,0.040989816
Biological Process,GO:0001525,angiogenesis,32,2.143335566,4.62E-04,"NRP2, FLT1, CXCL8, PLXND1, PTEN, PTGS2, ELK3, TYMP, AMOT, ESM1, RNF213, SRPX2, ZC3H12A, KDR, CCL2, CCN2, NDP, EDN2, FZD4, UNC5B, CAV1, IL18, VEZF1, COL4A2, HAND2, PXDN, COL8A1, ADAM8, PLCD3, MFGE8, RAMP1, RAPGEF3",1193,255,18585,1.954933189,0.887279496,0.167836685,0.167196495
Biological Process,GO:0071356,cellular response to tumor necrosis factor,21,1.406563965,5.11E-04,"CCL24, EDN1, PID1, CXCL8, CHUK, CCL20, NFATC1, NPNT, THBS1, CLDN1, RELA, KLF2, FOXP1, IL18BP, ZC3H12A, CCL2, HAS2, GBP2, CACTIN, GBP3, MAP3K5",1193,138,18585,2.370622107,0.910307235,0.171036709,0.170384312
Biological Process,GO:0009311,oligosaccharide metabolic process,8,0.535833891,5.77E-04,"AMY1A, ST8SIA1, AMY1B, AMY1C, ST8SIA5, ST3GAL6, FUT4, FUT3",1193,24,18585,5.192791282,0.93437445,0.171036709,0.170384312
Biological Process,GO:0007249,I-kappaB kinase/NF-kappaB signaling,13,0.870730074,5.80E-04,"EDN1, RIPK3, CHUK, NOD2, TICAM1, TNF, RELA, EDNRB, IRAK2, TIFA, IKBKG, BIRC2, BIRC3",1193,63,18585,3.21458508,0.935297873,0.171036709,0.170384312
Cellular Component,GO:0000139,Golgi membrane,66,4.420629605,5.94E-04,"SLC35B3, PI4K2B, STEAP4, CLSTN2, GALNT16, ABCA12, LITAF, GJA1, NDST3, PMEPA1, MAN1A1, HLA-DPA1, GBP5, CHST9, ST6GAL1, EMP2, ZDHHC11, CASD1, FAM20B, B3GNT2, RHOU, CYP2E1, VAMP4, STEAP2, OPTN, TLR3, PI4K2A, BLZF1, CHST3, UNC93B1, TMEM59L, ZDHHC23, SGMS2, PLD1, EGFR, FUT4, TMEM165, FUT3, GOLGA7B, TNKS2, ST8SIA5, HAS2, ST3GAL6, CHSY3, GBP2, RAB6A, ST3GAL1, GBP4, HLA-DQA1, AP1M2, GBP3, SEC16B, CD74, RHBDD2, ST8SIA1, CAV2, GPR108, CAV1, AP3D1, NOTCH2NLC, EXT1, ZDHHC9, STING1, NAPEPLD, HLA-DRA, HLA-DRB1",1242,680,19595,1.531294402,0.351677075,0.048137509,0.047543219
Biological Process,GO:0051092,positive regulation of NF-kappaB transcription factor activity,23,1.540522438,6.29E-04,"TNFSF18, ALK, RIPK3, CHUK, CAV1, IL18, IL1RAP, NOD2, TICAM1, TNF, EDA2R, RELA, RPS6KA4, IRAK1, IRAK2, ADAM8, PRKCQ, IKBKG, CARD16, TLR6, RAB7B, MAP3K13, TLR3",1193,161,18585,2.225481978,0.948681663,0.174596714,0.173930738
Biological Process,GO:0071347,cellular response to interleukin-1,15,1.004688547,6.70E-04,"CCL24, EDN1, CXCL8, CCL20, AQP4, RELA, KLF2, ZC3H12A, CCL2, HAS2, SOX9, MAP2K7, GBP2, CACTIN, GBP3",1193,82,18585,2.849702533,0.957652759,0.175562419,0.17489276
Biological Process,GO:0050727,regulation of inflammatory response,17,1.138647019,7.54E-04,"AKNA, ANXA1, FANCA, NOD2, PTGS2, RELA, FOXP1, CYLD, SBNO2, STING1, ALOX5, CASP4, CASP1, CARD16, BIRC2, MGLL, BIRC3",1193,102,18585,2.596395641,0.971540624,0.183937342,0.183235737
Biological Process,GO:0030335,positive regulation of cell migration,32,2.143335566,7.80E-04,"SEMA5A, FLT1, SEMA3C, TNFAIP6, SYNPO2, FAM107A, CDKN2B-AS1, NEDD9, LAMC2, THBS1, CLDN1, EGFR, VSIR, MYLK, PLAU, KDR, HAS2, CCN1, CCL24, EDN1, MMP7, SMAD3, FZD4, CAV1, INSR, SH3RF2, CEACAM6, MYADM, PECAM1, HPSE, EPHA2, FERMT3",1193,263,18585,1.89546754,0.974801261,0.183937342,0.183235737
Biological Process,GO:0032731,positive regulation of interleukin-1 beta production,13,0.870730074,8.96E-04,"GSDMD, GBP5, ORM1, SMAD3, HSPB1, NOD2, TNF, RELA, INAVA, CASP1, CARD16, TLR6, TMEM106A",1193,66,18585,3.068467576,0.985462199,0.188038715,0.187321467
Biological Process,GO:0034138,toll-like receptor 3 signaling pathway,6,0.401875419,8.97E-04,"UNC93B1, RFTN1, TICAM1, TNF, TLR3, HAVCR2",1193,13,18585,7.190018699,0.985524997,0.188038715,0.187321467
Biological Process,GO:0032755,positive regulation of interleukin-6 production,17,1.138647019,9.35E-04,"CD74, UNC93B1, PTAFR, IL1RAP, NOD2, TICAM1, TNF, RELA, INAVA, C1QTNF4, TLR1, IL1A, MBP, TLR6, RAB7B, TLR3, TMEM106A",1193,104,18585,2.546464956,0.987922742,0.188038715,0.187321467
Biological Process,GO:0097527,necroptotic signaling pathway,5,0.334896182,9.56E-04,"RIPK3, FAS, FADD, TNF, TLR3",1193,8,18585,9.736483655,0.989067828,0.188038715,0.187321467
Biological Process,GO:0015855,pyrimidine nucleobase transport,4,0.267916946,0.001002349,"AQP9, SLC28A2, SLC28A1, SLC28A3",1193,4,18585,15.57837385,0.991204009,0.189203368,0.188481677
Molecular Function,GO:0019838,growth factor binding,10,0.669792364,0.001014595,"NRP2, FGFBP1, FLT1, KDR, LTBP2, FGFBP3, CCN1, IL6ST, OSMR, EPHA2",1207,40,18178,3.765120133,0.739201251,0.209632744,0.20899989
Molecular Function,GO:0008009,chemokine activity,11,0.736771601,0.001024692,"GPR15LG, CCL24, CXCL6, C5, CXCL8, CCL20, CCL2, CXCL1, CXCL3, CXCL2, CXCL14",1207,48,18178,3.451360122,0.742667974,0.209632744,0.20899989
Molecular Function,GO:0005345,purine nucleobase transmembrane transporter activity,4,0.267916946,0.001107494,"AQP9, SLC28A2, SLC28A1, SLC28A3",1207,4,18178,15.06048053,0.769414669,0.209632744,0.20899989
Cellular Component,GO:0070062,extracellular exosome,175,11.72136638,0.001118436,"SEMA5A, STEAP4, AMY2A, CD82, AMY2B, COL12A1, DNHD1, LOXL4, DEFB1, AQP1, FBL, EFEMP1, BAIAP2L1, PLAU, DPYSL2, TNFSF10, CAPN2, UBASH3A, TOR3A, AMY1A, CACNA2D1, AMY1B, AMY1C, SLC6A14, MIR27B, KRT7, NPNT, TUBA4A, C1ORF116, COL4A2, MTHFD1, ARMC3, S100A6, PSME2, TNIK, IL6ST, MXRA5, UBA52, CFB, SLC26A2, SUCNR1, CFH, STXBP2, NEDD4L, SLC1A4, LIN7A, LTBP2, SLC5A1, FUT3, C3, EFNB1, C5, ALDH3B1, ST3GAL6, SFN, PROM1, RAB6A, MYH10, ST3GAL1, S100A11, CYP2J2, MUC16, SMURF1, INSR, CYBRD1, MSN, RAB27A, RAB27B, GP6, GNG12, PGA5, ARHGAP23, EHD2, DLG1, COL1A2, LOC102723996, GIPC2, ALB, NAPEPLD, FAT1, SERPINI2, HLA-DRA, SP8, MELTF, SLC26A4, HLA-DRB1, CC2D1A, CD22, LGMN, FERMT3, CLIC6, ALK, ORM1, BTG2, SERPINA1, PCDHGB5, WDR1, MTMR11, ARHGAP1, TNFAIP3, ADIRF, HSPB1, IL18BP, UPK1B, CSRP1, CRTAC1, CA2, H2BC21, NAPRT, TMEM109, MAN1A1, ACP3, GET3, CTSC, ZNF486, SERPINB1, ANXA1, MMP7, GSTO1, MYOF, AKR1A1, ARHGEF18, PEX1, TYK2, RHOF, IQCG, REXO5, ACTA2, DNM3, RAP2C, ANO1, ALDH1A3, ACTBL2, PXDN, MMRN2, PECAM1, VWA2, DNASE2, MFGE8, SFT2D2, CRYAB, SMPDL3A, RAPGEF3, CD44, SEMA3C, PON1, LAMA3, LCAT, PRELP, UACA, THBS1, FSTL1, GNAI1, GNA13, NT5E, SH3BGRL, GNG5, CCDC180, SLIT2, GPC4, CRYM, CD74, ATAD2, RFTN1, KRT10, PDZK1IP1, RAB11B, CAMK4, NEDD4, KRT14, MGP, TRIP10, FAS, VIM, CRB3",1242,2205,19595,1.252140685,0.557712979,0.081533995,0.080527402
Biological Process,GO:0032760,positive regulation of tumor necrosis factor production,17,1.138647019,0.001152469,"ORM1, IFNGR1, PTAFR, MIR27B, HSPB1, NOD2, TICAM1, THBS1, C1QTNF4, TLR1, IL1A, FRMD8, OAS3, FADD, TLR3, TMEM106A, HAVCR2",1193,106,18585,2.498418447,0.995672613,0.209173151,0.208375288
Cellular Component,GO:0005576,extracellular region,168,11.25251172,0.001335988,"LY6K, OLFML2B, AMY2A, SERPINE2, PLGLB1, AMY2B, SCT, COL12A1, AQP4, DEFB1, IL1RAP, FGF2, TNF, NPIPB15, ENDOU, EFEMP1, PLAU, EVA1C, LIPH, TNFSF10, KDR, CCN2, CCN1, PAMR1, IFNAR2, ST6GAL1, IL4R, AMY1A, AMY1B, FST, AMY1C, NPNT, TUBA4A, COL4A2, LOX, COL4A1, S100A6, COL8A1, IL6ST, MXRA5, CFB, CFH, STXBP2, KLK5, TNFRSF11B, LTBP2, FBXO45, CD99L2, LYPD6, GPR15LG, C3, C5, APOM, PDZD2, ARSJ, S100A11, CPA4, GSDMD, TFPI2, LIF, RAB27A, NMI, PGA5, NOTCH2NLC, BMP6, ADCY10, VNN1, COL1A2, VNN2, NMU, ALB, SP8, HPSE, MELTF, CTRC, MUC20, DAND5, LGMN, FERMT3, CNTNAP3, CXCL6, NRP2, ORM1, SERPINA1, CXCL8, WFIKKN1, TNFAIP6, WDR1, LEAP2, PLEK, PTEN, LAMC2, CXCL1, CXCL3, MSLN, PCSK5, CXCL2, HAPLN2, IL18BP, ESM1, C1QTNF2, NAPRT, CASP4, GAST, RSPO1, CFAP43, FGFBP3, CD34, HGFAC, CTSC, CFAP45, CHST9, EDN1, SERPINB1, FGFBP1, ANXA1, EDN2, SERPINB2, MMP7, IL15, HEG1, MAMDC2, IL18, TNFRSF1B, IL1A, F8, ADGRF1, C1QTNF12, PXDN, TNFRSF25, MFGE8, CFAP54, CCDC40, ITIH5, SEMA3C, PON2, DNAH5, PON1, LAMA3, LCAT, PRELP, AOAH, VWCE, PTN, UACA, THBS1, FSTL1, NTN1, PRRG4, FRZB, SPOCK2, ALOX5, AGR2, CCL2, SLIT2, APOL3, C17ORF67, RSPH4A, LAMB3, CCL20, DAW1, KISS1, KITLG, PSMC3, MGP, PTX3, HDGF, IL17C",1242,2117,19595,1.252022391,0.622651562,0.081820641,0.08081051
Cellular Component,GO:0000785,chromatin,94,6.296048225,0.001346842,"FANK1, FOXA1, RHOXF1, MCM7, FOXI1, HOXC10, ELK3, FOXQ1, HHEX, CHAF1B, CHAF1A, CAPN2, DPF3, HOXA2, SOX9, JUNB, PITX1, TP63, KLF11, TIPIN, BATF3, MEF2B, ZBTB37, EBF3, ETV1, PAX6, BHLHA15, ZHX1, POU5F1, FOXP1, MSH6, MYCL, MAU2, MYCN, PAX8, ELF4, IRF1, ELF5, HAND2, IRF7, ZFPM2, JDP2, ATF3, ASF1B, TRIM56, MCM2, NFIX, TSHZ3, CEBPD, UHRF1, DLX6, GATA6, BARX2, RELA, NPAS2, HOXC9, HOXC8, MEF2D, JUND, SLF2, SMAD3, IRX5, DMRT1, FANCL, VDR, PLK2, IRX3, PBX3, FANCA, NR1H3, FOXJ1, NFATC1, GRHL3, UBE2A, KLF4, SMAD6, POU2F3, TBX18, ESR2, KLF2, NR4A2, H1-5, FAM111B, NASP, TEF, STAG3, LHX2, NFIC, NEDD4, MAFF, SP8, MAFK, EZH2, TP73",1242,1077,19595,1.377005967,0.625629558,0.081820641,0.08081051
Biological Process,GO:0043280,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,11,0.736771601,0.001514067,"DAPK1, CASP1, TNFSF10, MIR27B, PMAIP1, CARD16, CCN2, CCN1, UACA, TNF, MAP3K5",1193,52,18585,3.295425237,0.999216557,0.233746625,0.23285503
Biological Process,GO:0038061,NIK/NF-kappaB signaling,11,0.736771601,0.001514067,"ALK, RIPK3, CHUK, IL18, MIR27B, NOD2, IKBKE, RELA, PSMB10, BIRC2, BIRC3",1193,52,18585,3.295425237,0.999216557,0.233746625,0.23285503
Biological Process,GO:1901224,positive regulation of NIK/NF-kappaB signaling,13,0.870730074,0.001529299,"EDN1, TNFSF14, IL18, NMI, NOD2, TNF, EGFR, RELA, C1QTNF4, IRAK1, TLR3, HAVCR2, TRIM56",1193,70,18585,2.893126572,0.999270985,0.233746625,0.23285503
Biological Process,GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,8,0.535833891,0.001575296,"CD74, UNC93B1, HLA-DRA, CTSE, HLA-DRB1, HLA-DQA1, HLA-DPA1, LGMN",1193,28,18585,4.450963956,0.999413453,0.233746625,0.23285503
Biological Process,GO:0006270,DNA replication initiation,8,0.535833891,0.001575296,"POLA2, MCM7, ORC1, CCNE2, MCM4, GMNC, MCM6, MCM2",1193,28,18585,4.450963956,0.999413453,0.233746625,0.23285503
Biological Process,GO:0098609,cell-cell adhesion,25,1.674480911,0.001628588,"LAMA3, AQP4, NTN1, LPP, EGFR, PDLIM1, SRPX2, BAIAP2L1, CDH2, CDH24, SOX9, CD34, S100A11, KIRREL1, ANXA1, VMP1, DLG1, VNN1, CDHR1, ITGA11, FAT1, PECAM1, ADAM8, CD44, CD200",1193,195,18585,1.997227416,0.999544084,0.233746625,0.23285503
Biological Process,GO:0043066,negative regulation of apoptotic process,53,3.549899531,0.001634592,"FANK1, TNFAIP8, PTEN, FHL2, HSPB1, TNF, IFIT3, GLI2, AQP1, EDNRB, ADORA1, PIM1, KDR, SOX9, CCN1, IER3, ANXA1, SERPINB2, DAPK1, AKR1A1, RNF144B, IL6ST, CRYAB, PTMA, CD44, BIRC2, BIRC3, AMIGO2, GATA6, THBS1, FSTL1, EGFR, RELA, MYCNOS, NUAK2, UCP2, PAK2, TNFSF18, CD74, PLK3, STIL, SMAD3, PLK2, ASNS, MIR200B, LOC102724560, SMAD6, HYPK, NOTCH2NLC, SH3RF2, LSM8, ALB, FAS",1193,532,18585,1.551980853,0.999556843,0.233746625,0.23285503
Biological Process,GO:0007165,signal transduction,110,7.367716008,0.001852258,"OLFML2B, CD83, SCT, CBLC, CXCL14, FGF2, ELK3, ENDOU, GJA1, OPHN1, PLAU, DPYSL2, RASSF5, TNFSF10, ADORA1, SOX9, CCN2, CCN1, GUCY1A2, IL4R, DAPK1, STARD8, AKAP9, S100A6, CARD16, OPTN, DGKH, SKAP2, CHRNA5, TNFRSF11B, MST1R, C3, SFN, FADD, SRGAP2, MAP2K7, FAM83B, S100A11, TNFSF18, STARD13, TNFSF14, THAP12, GNG12, GNG11, ESR2, ARHGAP23, NR4A2, EXT1, ARHGAP31, LOC102723996, OGT, FGF12, HLA-DRB1, BCAR3, ALK, CXCL6, CXCL8, TNFAIP6, ARHGAP1, CXCL1, ARHGAP4, C1QTNF4, CASP1, GAST, CD34, FGFBP1, ANXA1, RIPK3, IL15, IFNGR1, HUNK, RHOF, TLR1, RAP2C, MRAS, CEACAM6, PECAM1, TNFRSF25, TLR6, ITGB1BP2, ITGB3BP, RAPGEF3, TLR3, DTHD1, PKN3, ADCY3, NEDD9, EGFR, TYMP, GNA13, GNG5, CHN2, LRRC8C, CCL2, LRRC8B, GABRE, PAK2, LRRC8E, MPP1, CCL24, IL10RB, CCL20, BMP8B, GPR141, CAMK4, TRIP10, FAS, HDGF, CMTM2, PDE7B",1193,1293,18585,1.32530636,0.99984166,0.253318863,0.252352612
Biological Process,GO:0002281,macrophage activation involved in immune response,6,0.401875419,0.001878822,"SBNO2, SUCNR1, NMI, TICAM1, TNF, HAVCR2",1193,15,18585,6.231349539,0.999860351,0.253318863,0.252352612
Molecular Function,GO:0005201,extracellular matrix structural constituent,20,1.339584729,0.001926247,"LAMB3, LAMA3, TFPI2, PRELP, LAMC2, LTBP2, NPNT, THBS1, SRPX2, EFEMP1, COL1A2, COL4A2, COL4A1, MGP, MMRN2, PXDN, COL8A1, CCN1, MFGE8, MXRA5",1207,138,18178,2.182678338,0.922137441,0.286749797,0.285884137
Molecular Function,GO:0004896,cytokine receptor activity,11,0.736771601,0.001947734,"IL22RA1, IFNAR2, CD74, IL4R, FZD4, IFNGR1, IL10RB, IL6ST, OSMR, CD44, IL12RB2",1207,52,18178,3.185870881,0.924325582,0.286749797,0.285884137
Biological Process,GO:0006974,cellular response to DNA damage stimulus,33,2.210314802,0.002036701,"BTG2, MCM7, UBA6, UHRF1, FMR1, SMC5, FBXO45, ALKBH7, NPAS2, ZC3H12A, PMAIP1, SUSD6, IKBKG, TP63, IER3, MCTS1, PLK3, TIPIN, SLF2, FANCL, ZBTB38, XRCC3, BAZ1B, WDR76, FOXP1, RNF168, RNF169, SLFN11, IRF7, SGK1, SPATA18, DTL, TP73",1193,291,18585,1.766619715,0.999933813,0.261289265,0.260292611
Biological Process,GO:0001501,skeletal system development,19,1.272605492,0.002101036,"WFIKKN1, VDR, FST, DLX6, BMP8B, PRELP, TNFRSF11B, BMP6, HOXC10, HAPLN2, GLI2, EXT1, COL1A2, FRZB, USP1, SOX9, PITX1, TP63, EPHA2",1193,133,18585,2.225481978,0.999951178,0.261289265,0.260292611
Biological Process,GO:0070542,response to fatty acid,7,0.468854655,0.002104046,"PCSK1, PON1, UCP2, MBP, CCN2, SOX9, PTGS2",1193,22,18585,4.956755315,0.999951868,0.261289265,0.260292611
Biological Process,GO:0006935,chemotaxis,18,1.205626256,0.00219817,"CCL24, CXCL6, CXCL8, CCL20, PTAFR, CXCL1, DEFB1, PLD1, FGF2, CXCL2, CXCL14, TYMP, AMOT, C5, PLAU, CCL2, CMTM2, CCN1",1193,123,18585,2.279762026,0.999969163,0.265978561,0.264964021
Biological Process,GO:2001238,positive regulation of extrinsic apoptotic signaling pathway,8,0.535833891,0.002420736,"CYLD, CAV1, TNFSF10, G0S2, FADD, TLR6, TNF, PAK2",1193,30,18585,4.154233026,0.999989241,0.285586332,0.284497001
Biological Process,GO:0048566,embryonic digestive tract development,6,0.401875419,0.002589734,"CXCL8, SCT, TNF, PCSK5, GLI2, STRA6",1193,16,18585,5.841890193,0.999995164,0.298072017,0.296935061
Cellular Component,GO:0005737,cytoplasm,400,26.79169457,0.002856881,"TES, PID1, AVIL, SMC5, FZD10, CHKB-CPT1B, ABCA12, CLDN1, ALKBH6, MYLK, RNF112, ENDOU, GJA1, RAVER1, WDR90, DPYSL2, ZC3H12A, DPYSL3, HOMER3, UBASH3A, GAMT, GBP5, DAPK1, PASK, DNAAF8, EML3, SYTL2, DDX39A, PSME2, CYP2E1, UBA52, OPTN, IDO1, SKAP2, MTMR1, SLBP, LXN, NEDD4L, LYPD6, SKA2, RNF213, CFAP69, SFN, NRBF2, S100A11, TOE1, PLK3, GSDMC, STARD13, GSDMB, GSTM1, PLK2, NFATC1, MRPL21, EHD2, UCK2, GIPC2, NAPEPLD, FARSA, CDK14, EZH2, LGMN, FANK1, BTG2, MTMR11, ARHGAP1, ARHGAP4, FARS2, PANX2, CHAF1B, CSRP1, IKBKG, IKBKE, CEP55, ANXA1, SERPINB2, RIPK3, GSTO1, PAX6, EMP2, TACR1, LRRC41, POU5F1, CDC20B, CACTIN, CRYAB, GAS7, KANK2, PKN3, ADCY3, PTGS2, HSPA14, EGFR, SRPX2, FRZB, ALOX5, MBNL3, MEF2D, APOL3, CDKN2D, CDKN2B, ANKIB1, EGLN2, NR1H3, PSMC3, PLCD3, FMR1, FAM107A, FGF2, PTAR1, CDH2, RNF19A, PIM1, PITX1, MAP3K5, PIAS4, SNRPN, FST, TUBA4A, CLIP2, VMAC, MAG, C1ORF116, STIM2, MAK, S100A6, ADAM8, TNIK, DGKI, DGKH, LRRC51, FBXO45, AK5, NPAS2, STRA8, NPAT, SOCS1, NACC1, KHDC1, ZNF425, MAP2K7, SRGAP2, SAC3D1, SEC16B, FANCL, CCDC14, TRAPPC5, HPS1, FANCA, NSG1, FBXO32, LOC102724560, ADAP1, KY, LSM8, ADCY10, RGCC, ALB, RNF182, ZNF655, MAP3K13, BCAR3, PIWIL1, SCHIP1, PTEN, ADRA1B, HHEX, LBH, CCDC50, CHUK, VBP1, DHPS, RAD23A, HAUS1, C1QL1, ACTBL2, MYO3A, TESMIN, DNAJC9, BIRC2, MCM2, BIRC3, CCDC40, TRIM56, CCDC68, SHCBP1L, NOD2, NTN1, HDAC9, DEPP1, HAUS8, TIFA, LRRC8C, LRRC8B, FNIP2, LRRC8E, PPP1R14C, IRX3, AHNAK2, PTPN12, KLF4, SCART1, PC, SPAG1, MYO1F, GORAB, JPT2, AQP4, IFIT1, NADSYN1, IFIT3, AQP1, IFIT2, RPS6KA4, OPHN1, RASSF5, AGFG2, TP63, TIPIN, KRT7, YOD1, AKAP9, SIK1, SIK2, CCDC81, SPATA18, ZFPM2, BLZF1, MACF1, LPAR3, BRCC3, CD1D, BRIP1, NUAK2, STK38L, HIVEP3, FADD, APOBEC3D, TNFSF14, GADD45A, XRCC3, IFI44, NMI, PARP14, LRP2BP, KYAT3, CD22, TP73, CLIC6, KIF11, SH3PXD2A, LMCD1, CD34, EDN1, IL15, IL18, TYK2, PLAAT4, RAP2C, RNF144B, ANO1, KIF2A, PITPNM3, RGS7BP, SGK1, RAPSN, ARHGEF5, TLR3, DYNLT2B, NEDD9, VWCE, RGPD4, GNAI1, RELA, SH3BGRL, PLEKHG4B, PAK3, PAK2, UBL4A, MAP3K3, SVIL, CD74, RANBP3, DMRT1, RFTN1, SORBS2, MYO9B, SORBS1, KRT10, HYPK, KITLG, PER3, NEDD4, CAMK4, KRT14, TRIP10, PNPLA4, HDGF, CAPS, PRAG1, PRDM1, IFI44L, AMOT, KHSRP, CAPN2, RGS9, GUCY1A2, CFAP418, LMO3, NANOS3, IRAG2, IPCEF1, MAP7D3, CCNE2, MAP7D1, ELMO1, ELMO3, CARD16, ISYNA1, UBA6, PLCXD1, INAVA, CACNA1G, MYCNOS, EFNB1, PDZD2, IRAK1, IRAK2, ALDH3B1, MYH10, FAM83B, CYP2J2, STIL, SMAD3, VDR, SMURF1, ECD, ARHGAP29, MSN, TBCB, SMAD6, BMP6, GULP1, NR4A2, DLG1, NASP, FGF12, TNFAIP8, MAST4, MAST3, PLEK, HSPB1, TNFAIP3, IQCJ-SCHIP1, RBM4, CA2, CASP4, CASP1, LRRFIP1, CFAP43, GET3, SCYL1, DYNLT4, HUNK, ARHGEF18, C4ORF46, PEX1, SHROOM1, IQCG, ACTA2, DNM3, ALDH1A3, CCNA1, IRF1, OAS3, IRF7, CFAP58, ITGB3BP, RBMS3, RGS17, DNAH5, PDXP, NT5C2, GNA13, POLD3, PDLIM1, TNKS2, MARVELD1, S1PR3, SLIT2, CRYM, GBP2, GBP3, WTAP, DAW1, KISS1, LNX1, VIM, SNTB2, RBM44",1242,5615,19595,1.123916126,0.875773303,0.154566871,0.152658638
Biological Process,GO:0007155,cell adhesion,54,3.616878768,0.002947398,"CNTNAP3, SEMA5A, NRP2, PCDHGB5, TNFAIP6, COL12A1, LAMC2, MSLN, CLDN1, HAPLN2, CLDN22, CDH2, EMB, CCN2, ITGB6, CCN1, CD34, ROM1, EMP2, NPNT, MAG, CDHR1, NINJ2, PXDN, MMRN2, COL8A1, CLDN16, MFGE8, CD44, ITGB3BP, EPHA2, FBLN7, LAMA3, AMIGO2, NEDD9, CD99L2, THBS1, PCDH18, EFNB1, PDZD2, CCL2, MYH10, MUC16, LAMB3, PCDHGC4, PCDH7, TPBG, KITLG, PPFIBP1, SELL, ITGA11, SSPN, FAT1, CD22",1193,560,18585,1.502200335,0.99999911,0.324437416,0.323199892
Biological Process,GO:0010575,positive regulation of vascular endothelial growth factor production,8,0.535833891,0.002956306,"C3, IL1A, CCBE1, C5, HPSE, IL6ST, PTGS2, RELA",1193,31,18585,4.020225509,0.999999147,0.324437416,0.323199892
Biological Process,GO:0043406,positive regulation of MAP kinase activity,13,0.870730074,0.003133074,"EDN1, FLT1, INSR, MST1R, NOD2, FGF2, THBS1, TNF, EGFR, KITLG, IRAK1, ADAM8, EZH2",1193,76,18585,2.664721842,0.999999631,0.336022186,0.334740474
Cellular Component,GO:0030658,transport vesicle membrane,9,0.602813128,0.003157755,"CD74, SYT10, HLA-DRA, ABCA12, SYTL4, HLA-DRB1, HLA-DQA1, SNTB2, HLA-DPA1",1242,40,19595,3.549818841,0.900305619,0.154566871,0.152658638
