"","ENSEMBL","ENTREZID","SYMBOL","TXCHROM"
"4406","ENSG00000115128","51639","SF3B6","chr2"
"4407","ENSG00000115129","9540","TP53I3","chr2"
"4408","ENSG00000115137","51277","DNAJC27","chr2"
"4409","ENSG00000115138","5443","POMC","chr2"
"4410","ENSG00000115145","10254","STAM2","chr2"
"4411","ENSG00000115155","9381","OTOF","chr2"
"4412","ENSG00000115159","2820","GPD2","chr2"
"4413","ENSG00000115163","1058","CENPA","chr2"
"4414","ENSG00000115165","9595","CYTIP","chr2"
"4415","ENSG00000115170","90","ACVR1","chr2"
"4416","ENSG00000115183","85461","TANC1","chr2"
"4417","ENSG00000115194","7781","SLC30A3","chr2"
"4418","ENSG00000115204","4358","MPV17","chr2"
"4419","ENSG00000115207","2976","GTF3C2","chr2"
"4420","ENSG00000115211","8890","EIF2B4","chr2"
"4421","ENSG00000115216","29959","NRBP1","chr2"
"4422","ENSG00000115221","3694","ITGB6","chr2"
"4423","ENSG00000115226","64838","FNDC4","chr2"
"4424","ENSG00000115232","3676","ITGA4","chr2"
"4425","ENSG00000115233","10213","PSMD14","chr2"
"4426","ENSG00000115234","9784","SNX17","chr2"
"4427","ENSG00000115239","100302652","GPR75-ASB3",NA
"4429","ENSG00000115241","5496","PPM1G","chr2"
"4430","ENSG00000115252","5136","PDE1A","chr2"
"4431","ENSG00000115255","92840","REEP6","chr19"
"4432","ENSG00000115257","54760","PCSK4","chr19"
"4433","ENSG00000115263","2641","GCG","chr2"
"4434","ENSG00000115266","10297","APC2","chr19"
"4435","ENSG00000115267","64135","IFIH1","chr2"
"4436","ENSG00000115268","6209","RPS15","chr19"
"4437","ENSG00000115271","25801","GCA","chr2"
"4438","ENSG00000115274","83444","INO80B","chr2"
"4439","ENSG00000115275","7841","MOGS","chr2"
"4440","ENSG00000115282","64427","TTC31","chr2"
"4441","ENSG00000115286","374291","NDUFS7","chr19"
"4442","ENSG00000115289","84759","PCGF1","chr2"
"4443","ENSG00000115290","2888","GRB14","chr2"
"4444","ENSG00000115295","79745","CLIP4","chr2"
"4445","ENSG00000115297","3196","TLX2","chr2"
"4446","ENSG00000115306","6711","SPTBN1","chr2"
"4447","ENSG00000115307","550","AUP1","chr2"
"4448","ENSG00000115310","57142","RTN4","chr2"
"4449","ENSG00000115317","27429","HTRA2","chr2"
"4450","ENSG00000115318","84695","LOXL3","chr2"
"4451","ENSG00000115325","1796","DOK1","chr2"
"4452","ENSG00000115339","2591","GALNT3","chr2"
"4453","ENSG00000115350","56655","POLE4","chr2"
"4454","ENSG00000115353","6869","TACR1","chr2"
"4455","ENSG00000115355","55704","CCDC88A","chr2"
"4456","ENSG00000115361","33","ACADL","chr2"
"4457","ENSG00000115363","84141","EVA1A","chr2"
"4458","ENSG00000115364","9801","MRPL19","chr2"
"4459","ENSG00000115365","10314","LANCL1","chr2"
"4460","ENSG00000115368","84128","WDR75","chr2"
"4461","ENSG00000115380","2202","EFEMP1","chr2"
"4462","ENSG00000115386","5967","REG1A","chr2"
"4463","ENSG00000115392","55120","FANCL","chr2"
"4464","ENSG00000115414","2335","FN1","chr2"
"4465","ENSG00000115415","6772","STAT1","chr2"
"4466","ENSG00000115419","2744","GLS","chr2"
"4467","ENSG00000115421","64895","PAPOLG","chr2"
"4468","ENSG00000115423","1768","DNAH6","chr2"
"4469","ENSG00000115425","55825","PECR","chr2"
"4470","ENSG00000115446","25972","UNC50","chr2"
"4471","ENSG00000115457","3485","IGFBP2","chr2"
"4472","ENSG00000115459","84173","ELMOD3","chr2"
"4473","ENSG00000115461","3488","IGFBP5","chr2"
"4474","ENSG00000115464","9736","USP34","chr2"
"4475","ENSG00000115468","80303","EFHD1","chr2"
"4476","ENSG00000115474","3769","KCNJ13","chr2"
"4477","ENSG00000115484","10575","CCT4","chr2"
"4478","ENSG00000115486","2677","GGCX","chr2"
"4479","ENSG00000115488","4759","NEU2","chr2"
"4480","ENSG00000115504","23301","EHBP1","chr2"
"4481","ENSG00000115507","5013","OTX1","chr2"
"4482","ENSG00000115514","10190","TXNDC9","chr2"
"4483","ENSG00000115520","80219","COQ10B","chr2"
"4484","ENSG00000115523","10578","GNLY","chr2"
"4485","ENSG00000115524","23451","SF3B1","chr2"
"4486","ENSG00000115525","8869","ST3GAL5","chr2"
"4487","ENSG00000115526","9486","CHST10","chr2"
"4488","ENSG00000115539","79031","PDCL3","chr2"
"4489","ENSG00000115540","25843","MOB4","chr2"
"4490","ENSG00000115541","3336","HSPE1","chr2"
"4491","ENSG00000115548","55818","KDM3A","chr2"
"4492","ENSG00000115556","84812","PLCD4","chr2"
"4493","ENSG00000115561","51652","CHMP3","chr2"
"4494","ENSG00000115568","7701","ZNF142","chr2"
"4495","ENSG00000115590","7850","IL1R2","chr2"
"4496","ENSG00000115592","53632","PRKAG3","chr2"
"4497","ENSG00000115593","150572","SMYD1","chr2"
"4498","ENSG00000115594","3554","IL1R1","chr2"
"4499","ENSG00000115596","7475","WNT6","chr2"
"4500","ENSG00000115598","8808","IL1RL2","chr2"
"4501","ENSG00000115602","9173","IL1RL1","chr2"
"4502","ENSG00000115604","8809","IL18R1","chr2"
"4503","ENSG00000115607","8807","IL18RAP","chr2"
"4504","ENSG00000115616","6549","SLC9A2","chr2"
"4505","ENSG00000115641","2274","FHL2","chr2"
"4506","ENSG00000115648","79083","MLPH","chr2"
"4507","ENSG00000115649","27013","CNPPD1","chr2"
"4508","ENSG00000115652","80146","UXS1","chr2"
"4509","ENSG00000115657","10058","ABCB6","chr2"
"4510","ENSG00000115661","8576","STK16","chr2"
"4511","ENSG00000115665","60482","SLC5A7","chr2"
"4512","ENSG00000115677","3069","HDLBP","chr2"
"4513","ENSG00000115685","5510","PPP1R7","chr2"
"4514","ENSG00000115687","23178","PASK","chr2"
"4515","ENSG00000115694","10494","STK25","chr2"
"4516","ENSG00000115705","7173","TPO","chr2"
"4517","ENSG00000115718","5624","PROC","chr2"
"4518","ENSG00000115738","3398","ID2","chr2"
"4519","ENSG00000115750","9014","TAF1B","chr2"
"4520","ENSG00000115756","3241","HPCAL1","chr2"
"4521","ENSG00000115758","4953","ODC1","chr2"
"4522","ENSG00000115760","57448","BIRC6","chr2"
"4523","ENSG00000115761","79954","NOL10","chr2"
"4524","ENSG00000115762","55041","PLEKHB2","chr2"
"4525","ENSG00000115806","26003","GORASP2","chr2"
"4526","ENSG00000115808","6801","STRN","chr2"
"4527","ENSG00000115816","10153","CEBPZ","chr2"
"4528","ENSG00000115825","23683","PRKD3","chr2"
"4529","ENSG00000115827","80067","DCAF17","chr2"
"4530","ENSG00000115828","25797","QPCT","chr2"
"4531","ENSG00000115839","22930","RAB3GAP1","chr2"
"4532","ENSG00000115840","8604","SLC25A12","chr2"
"4533","ENSG00000115841","151393","RMDN2","chr2"
"4534","ENSG00000115844","1746","DLX2","chr2"
"4535","ENSG00000115850","3938","LCT","chr2"
"4536","ENSG00000115866","1615","DARS1","chr2"
"4537","ENSG00000115875","6432","SRSF7","chr2"
"4538","ENSG00000115884","6382","SDC1","chr2"
"4539","ENSG00000115896","5334","PLCL1","chr2"
"4540","ENSG00000115902","6509","SLC1A4","chr2"
"4541","ENSG00000115904","6654","SOS1","chr2"
"4542","ENSG00000115919","8942","KYNU","chr2"
"4544","ENSG00000115935","7456","WIPF1","chr2"
"4545","ENSG00000115942","4999","ORC2","chr2"
"4546","ENSG00000115944","9167","COX7A2L","chr2"
"4547","ENSG00000115946","56902","PNO1","chr2"
"4548","ENSG00000115947","5000","ORC4","chr2"
"4549","ENSG00000115956","5341","PLEK","chr2"
"4550","ENSG00000115963","390","RND3","chr2"
"4551","ENSG00000115966","1386","ATF2","chr2"
"4552","ENSG00000115970","63892","THADA","chr2"
"4553","ENSG00000115977","22848","AAK1","chr2"
"4554","ENSG00000115993","66008","TRAK2","chr2"
"4555","ENSG00000115998","54980","C2orf42","chr2"
"4556","ENSG00000116001","7072","TIA1","chr2"
"4557","ENSG00000116005","51449","PCYOX1","chr2"
"4558","ENSG00000116014","84634","KISS1R","chr19"
"4559","ENSG00000116016","2034","EPAS1","chr2"
"4560","ENSG00000116017","1820","ARID3A","chr19"
"4561","ENSG00000116030","7341","SUMO1","chr2"
"4562","ENSG00000116031","50489","CD207","chr2"
"4563","ENSG00000116032","116444","GRIN3B","chr19"
"4564","ENSG00000116035","25806","VAX2","chr2"
"4565","ENSG00000116039","525","ATP6V1B1","chr2"
"4566","ENSG00000116044","4780","NFE2L2","chr2"
"4567","ENSG00000116062","2956","MSH6","chr2"
"4568","ENSG00000116095","65977","PLEKHA3","chr2"
"4569","ENSG00000116096","6697","SPR","chr2"
"4570","ENSG00000116106","2043","EPHA4","chr2"
"4571","ENSG00000116117","117583","PARD3B","chr2"
"4572","ENSG00000116120","10056","FARSB","chr2"
"4573","ENSG00000116127","7840","ALMS1","chr2"
"4574","ENSG00000116128","607","BCL9","chr1"
"4575","ENSG00000116132","5396","PRRX1","chr1"
"4576","ENSG00000116133","1718","DHCR24","chr1"
"4577","ENSG00000116138","23341","DNAJC16","chr1"
"4578","ENSG00000116141","4139","MARK1","chr1"
"4579","ENSG00000116147","7143","TNR","chr1"
"4580","ENSG00000116151","79906","MORN1","chr1"
"4581","ENSG00000116157","2882","GPX7","chr1"
"4582","ENSG00000116161","27101","CACYBP","chr1"
"4583","ENSG00000116171","6342","SCP2","chr1"
"4584","ENSG00000116176","25823","TPSG1","chr16"
"4585","ENSG00000116183","60676","PAPPA2","chr1"
"4586","ENSG00000116191","55103","RALGPS2","chr1"
"4587","ENSG00000116194","9068","ANGPTL1","chr1"
"4588","ENSG00000116198","9731","CEP104","chr1"
"4589","ENSG00000116199","9917","FAM20B","chr1"
"4590","ENSG00000116205","127428","TCEANC2","chr1"
"4591","ENSG00000116209","9528","TMEM59","chr1"
"4592","ENSG00000116212","115353","LRRC42","chr1"
"4593","ENSG00000116213","49856","WRAP73","chr1"
"4594","ENSG00000116218","7827","NPHS2","chr1"
"4595","ENSG00000116221","51253","MRPL37","chr1"
"4596","ENSG00000116237","23463","ICMT","chr1"
"4597","ENSG00000116251","6146","RPL22","chr1"
"4598","ENSG00000116254","26038","CHD5","chr1"
"4599","ENSG00000116260","5768","QSOX1","chr1"
"4600","ENSG00000116266","6814","STXBP3","chr1"
"4601","ENSG00000116273","148479","PHF13","chr1"
"4602","ENSG00000116285","54206","ERRFI1","chr1"
"4603","ENSG00000116288","11315","PARK7","chr1"
"4604","ENSG00000116299","57535","ELAPOR1","chr1"
"4605","ENSG00000116329","4985","OPRD1","chr1"
"4606","ENSG00000116337","271","AMPD2","chr1"
"4607","ENSG00000116350","6429","SRSF4","chr1"
"4608","ENSG00000116353","51102","MECR","chr1"
"4609","ENSG00000116396","3749","KCNC4","chr1"
"4610","ENSG00000116406","80267","EDEM3","chr1"
"4611","ENSG00000116455","79084","WDR77","chr1"
"4612","ENSG00000116459","515","ATP5PB","chr1"
"4613","ENSG00000116473","5906","RAP1A","chr1"
"4614","ENSG00000116478","3065","HDAC1","chr1"
"4615","ENSG00000116489","829","CAPZA1","chr1"
"4616","ENSG00000116497","64766","S100PBP","chr1"
"4617","ENSG00000116514","127544","RNF19B","chr1"
"4618","ENSG00000116521","10067","SCAMP3","chr1"
"4619","ENSG00000116525","55223","TRIM62","chr1"
"4620","ENSG00000116539","55870","ASH1L","chr1"
"4621","ENSG00000116544","58512","DLGAP3","chr1"
"4622","ENSG00000116560","6421","SFPQ","chr1"
"4623","ENSG00000116574","58480","RHOU","chr1"
"4624","ENSG00000116580","54856","GON4L","chr1"
"4625","ENSG00000116584","9181","ARHGEF2","chr1"
"4626","ENSG00000116586","28956","LAMTOR2","chr1"
"4627","ENSG00000116604","4209","MEF2D","chr1"
"4628","ENSG00000116641","85440","DOCK7","chr1"
"4629","ENSG00000116649","6723","SRM","chr1"
"4631","ENSG00000116661","26232","FBXO2","chr1"
"4632","ENSG00000116663","26270","FBXO6","chr1"
"4633","ENSG00000116667","81563","C1orf21","chr1"
"4634","ENSG00000116668","54823","SWT1","chr1"
"4635","ENSG00000116670","10459","MAD2L2","chr1"
"4636","ENSG00000116675","9829","DNAJC6","chr1"
"4637","ENSG00000116678","3953","LEPR","chr1"
"4638","ENSG00000116679","10625","IVNS1ABP","chr1"
"4639","ENSG00000116685","90231","KIAA2013","chr1"
"4640","ENSG00000116688","9927","MFN2","chr1"
"4641","ENSG00000116690","10216","PRG4","chr1"
"4642","ENSG00000116691","60672","MIIP","chr1"
"4643","ENSG00000116698","9887","SMG7","chr1"
"4644","ENSG00000116701","4688","NCF2","chr1"
"4645","ENSG00000116703","5132","PDC","chr1"
"4646","ENSG00000116704","23169","SLC35D1","chr1"
"4647","ENSG00000116711","5321","PLA2G4A","chr1"
"4648","ENSG00000116717","1647","GADD45A","chr1"
"4649","ENSG00000116721","65121","PRAMEF1","chr1"
"4650","ENSG00000116726","390999","PRAMEF12","chr1"
"4651","ENSG00000116729","79971","WLS","chr1"
"4652","ENSG00000116731","7799","PRDM2","chr1"
"4653","ENSG00000116741","5997","RGS2","chr1"
"4654","ENSG00000116745","6121","RPE65","chr1"
"4655","ENSG00000116747","6738","RO60","chr1"
"4656","ENSG00000116748","270","AMPD1","chr1"
"4657","ENSG00000116750","51377","UCHL5","chr1"
"4658","ENSG00000116752","10286","BCAS2","chr1"
"4659","ENSG00000116754","9295","SRSF11","chr1"
"4660","ENSG00000116761","1491","CTH","chr1"
"4661","ENSG00000116771","79814","AGMAT","chr1"
"4662","ENSG00000116774","56944","OLFML3","chr1"
"4663","ENSG00000116783","51086","TNNI3K","chr1"
"4664","ENSG00000116785","10878","CFHR3","chr1"
"4665","ENSG00000116786","23207","PLEKHM2","chr1"
"4666","ENSG00000116791","1429","CRYZ","chr1"
"4667","ENSG00000116793","10745","PHTF1","chr1"
"4668","ENSG00000116809","7709","ZBTB17","chr1"
"4669","ENSG00000116815","965","CD58","chr1"
"4670","ENSG00000116819","339488","TFAP2E","chr1"
"4671","ENSG00000116824","914","CD2","chr1"
"4672","ENSG00000116830","8458","TTF2","chr1"
"4673","ENSG00000116833","2494","NR5A2","chr1"
"4674","ENSG00000116852","23046","KIF21B","chr1"
"4675","ENSG00000116857","252839","TMEM9","chr1"
"4676","ENSG00000116863","54936","ADPRS","chr1"
"4677","ENSG00000116871","55700","MAP7D1","chr1"
"4678","ENSG00000116874","10352","WARS2","chr1"
"4679","ENSG00000116882","51179","HAO2","chr1"
"4680","ENSG00000116885","127700","OSCP1","chr1"
"4681","ENSG00000116898","64960","MRPS15","chr1"
"4682","ENSG00000116903","149371","EXOC8","chr1"
"4683","ENSG00000116906","8443","GNPAT","chr1"
"4684","ENSG00000116918","7257","TSNAX","chr1"
"4685","ENSG00000116922","54955","C1orf109","chr1"
"4686","ENSG00000116954","64121","RRAGC","chr1"
"4687","ENSG00000116962","4811","NID1","chr1"
"4688","ENSG00000116977","3964","LGALS8","chr1"
"4689","ENSG00000116981","84618","NT5C1A","chr1"
"4690","ENSG00000116983","51440","HPCAL4","chr1"
"4691","ENSG00000116984","4548","MTR","chr1"
"4692","ENSG00000116985","656","BMP8B","chr1"
"4693","ENSG00000116990","4610","MYCL","chr1"
"4694","ENSG00000116991","57568","SIPA1L2","chr1"
"4695","ENSG00000116996","57829","ZP4","chr1"
"4696","ENSG00000117000","6018","RLF","chr1"
"4697","ENSG00000117009","8564","KMO","chr1"
"4698","ENSG00000117010","127396","ZNF684","chr1"
"4699","ENSG00000117013","9132","KCNQ4","chr1"
"4700","ENSG00000117016","9783","RIMS3","chr1"
"4701","ENSG00000117020","10000","AKT3","chr1"
"4702","ENSG00000117036","2117","ETV3","chr1"
"4703","ENSG00000117054","34","ACADM","chr1"
"4704","ENSG00000117069","81849","ST6GALNAC5","chr1"
"4705","ENSG00000117090","6504","SLAMF1","chr1"
"4706","ENSG00000117091","962","CD48","chr1"
"4707","ENSG00000117114","23266","ADGRL2","chr1"
"4708","ENSG00000117115","11240","PADI2","chr1"
"4709","ENSG00000117118","6390","SDHB","chr1"
"4710","ENSG00000117122","4237","MFAP2","chr1"
"4711","ENSG00000117133","80135","RPF1","chr1"
"4712","ENSG00000117139","10765","KDM5B","chr1"
"4713","ENSG00000117143","6675","UAP1","chr1"
"4714","ENSG00000117148","81569","ACTL8","chr1"
"4715","ENSG00000117151","1486","CTBS","chr1"
"4716","ENSG00000117152","5999","RGS4","chr1"
"4717","ENSG00000117153","59349","KLHL12","chr1"
"4718","ENSG00000117154","84966","IGSF21","chr1"
"4719","ENSG00000117155","117178","SSX2IP","chr1"
"4720","ENSG00000117174","54680","ZNHIT6","chr1"
"4721","ENSG00000117215","26279","PLA2G2D","chr1"
"4722","ENSG00000117222","5929","RBBP5","chr1"
"4723","ENSG00000117226","2635","GBP3","chr1"
"4724","ENSG00000117228","2633","GBP1","chr1"
"4725","ENSG00000117242","100861548","PINK1-AS",NA
"4726","ENSG00000117245","57576","KIF17","chr1"
"4727","ENSG00000117262","653519","GPR89A","chr1"
"4728","ENSG00000117266","5129","CDK18","chr1"
"4729","ENSG00000117280","8934","RAB29","chr1"
"4730","ENSG00000117281","11126","CD160","chr1"
"4731","ENSG00000117298","1889","ECE1","chr1"
"4732","ENSG00000117305","3155","HMGCL","chr1"
"4733","ENSG00000117308","2582","GALE","chr1"
"4734","ENSG00000117318","3399","ID3","chr1"
"4735","ENSG00000117322","1380","CR2","chr1"
"4736","ENSG00000117335","4179","CD46","chr1"
"4737","ENSG00000117360","9129","PRPF3","chr1"
"4738","ENSG00000117362","51107","APH1A","chr1"
"4739","ENSG00000117385","64175","P3H1","chr1"
"4740","ENSG00000117394","6513","SLC2A1","chr1"
"4741","ENSG00000117395","10969","EBNA1BP2","chr1"
"4742","ENSG00000117399","991","CDC20","chr1"
"4743","ENSG00000117400","4352","MPL","chr1"
"4744","ENSG00000117407","9048","ARTN","chr1"
"4745","ENSG00000117408","9670","IPO13","chr1"
"4746","ENSG00000117410","533","ATP6V0B","chr1"
"4747","ENSG00000117411","8704","B4GALT2","chr1"
"4748","ENSG00000117419","79033","ERI3","chr1"
"4749","ENSG00000117425","8643","PTCH2","chr1"
"4750","ENSG00000117448","10327","AKR1A1","chr1"
"4751","ENSG00000117450","5052","PRDX1","chr1"
"4752","ENSG00000117461","8503","PIK3R3","chr1"
"4753","ENSG00000117472","10103","TSPAN1","chr1"
"4754","ENSG00000117475","8548","BLZF1","chr1"
"4755","ENSG00000117477","57821","CCDC181","chr1"
"4756","ENSG00000117479","10560","SLC19A2","chr1"
"4757","ENSG00000117480","2166","FAAH","chr1"
"4758","ENSG00000117481","387338","NSUN4","chr1"
"4759","ENSG00000117500","50999","TMED5","chr1"
"4760","ENSG00000117501","80133","MROH9","chr1"
"4761","ENSG00000117505","1810","DR1","chr1"
"4762","ENSG00000117507","388714","FMO6P","chr1"
"4763","ENSG00000117519","1266","CNN3","chr1"
"4764","ENSG00000117523","23215","PRRC2C","chr1"
"4765","ENSG00000117525","2152","F3","chr1"
"4766","ENSG00000117528","5825","ABCD3","chr1"
"4767","ENSG00000117533","8674","VAMP4","chr1"
"4768","ENSG00000117543","51611","DPH5","chr1"
"4769","ENSG00000117560","356","FASLG","chr1"
"4770","ENSG00000117569","58155","PTBP2","chr1"
"4771","ENSG00000117586","7292","TNFSF4","chr1"
"4772","ENSG00000117592","9588","PRDX6","chr1"
"4773","ENSG00000117593","55157","DARS2","chr1"
"4774","ENSG00000117594","3290","HSD11B1","chr1"
"4775","ENSG00000117595","3664","IRF6","chr1"
"4776","ENSG00000117597","27042","UTP25","chr1"
"4777","ENSG00000117598","163404","PLPPR5","chr1"
"4778","ENSG00000117600","9890","PLPPR4","chr1"
"4779","ENSG00000117601","462","SERPINC1","chr1"
"4780","ENSG00000117602","11123","RCAN3","chr1"
"4781","ENSG00000117614","25949","SYF2","chr1"
"4782","ENSG00000117616","57035","RSRP1","chr1"
"4783","ENSG00000117620","23443","SLC35A3","chr1"
"4784","ENSG00000117625","55758","RCOR3","chr1"
"4785","ENSG00000117632","3925","STMN1","chr1"
"4786","ENSG00000117640","56181","MTFR1L","chr1"
"4787","ENSG00000117643","57134","MAN1C1","chr1"
"4788","ENSG00000117650","4751","NEK2","chr1"
"4789","ENSG00000117676","6195","RPS6KA1","chr1"
"4790","ENSG00000117682","79947","DHDDS","chr1"
"4791","ENSG00000117691","29937","NENF","chr1"
"4792","ENSG00000117697","25936","NSL1","chr1"
"4793","ENSG00000117707","5629","PROX1","chr1"
"4794","ENSG00000117713","8289","ARID1A","chr1"
"4795","ENSG00000117724","1063","CENPF","chr1"
"4796","ENSG00000117748","6118","RPA2","chr1"
"4797","ENSG00000117751","5511","PPP1R8","chr1"
"4798","ENSG00000117758","23673","STX12","chr1"
"4799","ENSG00000117791","54996","MTARC2","chr1"
"4800","ENSG00000117834","200010","SLC5A9","chr1"
"4801","ENSG00000117859","114883","OSBPL9","chr1"
"4802","ENSG00000117862","51060","TXNDC12","chr1"
"4803","ENSG00000117868","57488","ESYT2","chr7"
"4804","ENSG00000117877","10849","POLR1G","chr19"
"4805","ENSG00000117899","23184","MESD","chr15"
"4806","ENSG00000117906","5955","RCN2","chr15"
"4807","ENSG00000117971","1143","CHRNB4","chr15"
"4808","ENSG00000117983","727897","MUC5B","chr11"
"4809","ENSG00000117984","1509","CTSD","chr11"
"4810","ENSG00000118004","78989","COLEC11","chr2"
"4811","ENSG00000118007","10274","STAG1","chr3"
"4812","ENSG00000118017","51146","A4GNT","chr3"
"4813","ENSG00000118046","6794","STK11","chr19"
"4814","ENSG00000118058","4297","KMT2A","chr11"
"4815","ENSG00000118094","11181","TREH","chr11"
"4816","ENSG00000118096","56912","IFT46","chr11"
"4817","ENSG00000118113","4317","MMP8","chr11"
"4818","ENSG00000118137","335","APOA1","chr11"
"4819","ENSG00000118156","84215","ZNF541","chr19"
"4820","ENSG00000118160","6543","SLC8A2","chr19"
"4821","ENSG00000118162","11133","KPTN","chr19"
"4822","ENSG00000118181","6230","RPS25","chr11"
"4823","ENSG00000118193","9928","KIF14","chr1"
"4824","ENSG00000118194","7139","TNNT2","chr1"
"4825","ENSG00000118197","83479","DDX59","chr1"
"4826","ENSG00000118200","23271","CAMSAP2","chr1"
"4827","ENSG00000118217","22926","ATF6","chr1"
"4828","ENSG00000118231","1421","CRYGD","chr2"
"4829","ENSG00000118242","55686","MREG","chr2"
"4830","ENSG00000118245","7141","TNP1","chr2"
"4831","ENSG00000118246","22868","FASTKD2","chr2"
"4832","ENSG00000118257","8828","NRP2","chr2"
"4833","ENSG00000118260","1385","CREB1","chr2"
"4834","ENSG00000118263","8609","KLF7","chr2"
"4835","ENSG00000118271","7276","TTR","chr18"
"4836","ENSG00000118276","9331","B4GALT6","chr18"
"4837","ENSG00000118292","79630","C1orf54","chr1"
"4838","ENSG00000118298","23632","CA14","chr1"
"4839","ENSG00000118307","55259","DNAI7","chr12"
"4840","ENSG00000118308","4033","IRAG2","chr12"
"4841","ENSG00000118322","23120","ATP10B","chr5"
"4842","ENSG00000118363","9789","SPCS2","chr11"
"4843","ENSG00000118369","57558","USP35","chr11"
"4844","ENSG00000118402","6785","ELOVL4","chr6"
"4845","ENSG00000118407","27145","FILIP1","chr6"
"4846","ENSG00000118412","9994","CASP8AP2","chr6"
"4847","ENSG00000118418","9324","HMGN3","chr6"
"4848","ENSG00000118420","90025","UBE3D","chr6"
"4849","ENSG00000118432","1268","CNR1","chr6"
"4850","ENSG00000118434","81833","SPACA1","chr6"
"4851","ENSG00000118454","81573","ANKRD13C","chr1"
"4852","ENSG00000118473","84251","SGIP1","chr1"
"4853","ENSG00000118482","23469","PHF3","chr6"
"4854","ENSG00000118491","153918","ZC2HC1B","chr6"
"4855","ENSG00000118492","79747","ADGB","chr6"
"4856","ENSG00000118495","5325","PLAGL1","chr6"
"4857","ENSG00000118496","84085","FBXO30","chr6"
"4858","ENSG00000118503","7128","TNFAIP3","chr6"
"4859","ENSG00000118507","9465","AKAP7","chr6"
"4860","ENSG00000118508","10981","RAB32","chr6"
"4861","ENSG00000118513","4602","MYB","chr6"
"4862","ENSG00000118514","64577","ALDH8A1","chr6"
"4863","ENSG00000118515","6446","SGK1","chr6"
"4864","ENSG00000118518","81847","RNF146","chr6"
"4865","ENSG00000118520","383","ARG1","chr6"
"4866","ENSG00000118523","1490","CCN2","chr6"
"4867","ENSG00000118526","6943","TCF21","chr6"
"4868","ENSG00000118557","83449","PMFBP1","chr16"
"4869","ENSG00000118564","26234","FBXL5","chr4"
"4870","ENSG00000118579","80306","MED28","chr4"
"4871","ENSG00000118596","9194","SLC16A7","chr12"
"4872","ENSG00000118600","10329","RXYLT1","chr12"
"4873","ENSG00000118620","80264","ZNF430","chr19"
"4874","ENSG00000118640","8673","VAMP8","chr2"
"4875","ENSG00000118655","64858","DCLRE1B","chr1"
"4876","ENSG00000118680","103910","MYL12B","chr18"
"4877","ENSG00000118689","2309","FOXO3","chr6"
"4878","ENSG00000118690","84071","ARMC2","chr6"
"4879","ENSG00000118702","2691","GHRH","chr20"
"4880","ENSG00000118705","6185","RPN2","chr20"
"4881","ENSG00000118707","60436","TGIF2","chr20"
"4882","ENSG00000118729","845","CASQ2","chr1"
"4883","ENSG00000118733","118427","OLFM3","chr1"
"4884","ENSG00000118762","5311","PKD2","chr4"
"4885","ENSG00000118777","9429","ABCG2","chr4"
"4886","ENSG00000118785","6696","SPP1","chr4"
"4887","ENSG00000118804","8987","STBD1","chr4"
"4888","ENSG00000118816","10983","CCNI","chr4"
"4889","ENSG00000118849","5918","RARRES1","chr3"
"4890","ENSG00000118855","64747","MFSD1","chr3"
"4891","ENSG00000118873","25782","RAB3GAP2","chr1"
"4892","ENSG00000118894","196483","EEF2KMT","chr16"
"4893","ENSG00000118898","5493","PPL","chr16"
"4894","ENSG00000118900","29855","UBN1","chr16"
"4896","ENSG00000118922","11278","KLF12","chr13"
"4897","ENSG00000118939","7347","UCHL3","chr13"
"4898","ENSG00000118946","27253","PCDH17","chr13"
"4899","ENSG00000118960","64342","HS1BP3","chr2"
"4900","ENSG00000118961","60526","LDAH","chr2"
"4901","ENSG00000118965","57539","WDR35","chr2"
"4902","ENSG00000118971","894","CCND2","chr12"
"4903","ENSG00000118972","8074","FGF23","chr12"
"4905","ENSG00000118985","22936","ELL2","chr5"
"4907","ENSG00000118997","56171","DNAH7","chr2"
"4908","ENSG00000119004","57404","CYP20A1","chr2"
"4909","ENSG00000119013","4709","NDUFB3","chr2"
"4910","ENSG00000119041","9330","GTF3C3","chr2"
"4911","ENSG00000119042","23314","SATB2","chr2"
"4912","ENSG00000119048","7320","UBE2B","chr5"
"4913","ENSG00000119121","140803","TRPM6","chr9"
"4914","ENSG00000119125","9615","GDA","chr9"
"4915","ENSG00000119138","687","KLF9","chr9"
"4916","ENSG00000119139","9414","TJP2","chr9"
"4917","ENSG00000119147","84417","ECRG4","chr2"
"4918","ENSG00000119185","9270","ITGB1BP1","chr2"
"4919","ENSG00000119203","51692","CPSF3","chr2"
"4920","ENSG00000119227","80235","PIGZ","chr3"
"4921","ENSG00000119231","205564","SENP5","chr3"
"4922","ENSG00000119242","80212","CCDC92","chr12"
"4923","ENSG00000119280","84886","C1orf198","chr1"
"4924","ENSG00000119283","440730","TRIM67","chr1"
"4925","ENSG00000119285","55127","HEATR1","chr1"
"4926","ENSG00000119314","9991","PTBP3","chr9"
"4927","ENSG00000119318","5887","RAD23B","chr9"
"4928","ENSG00000119321","23307","FKBP15","chr9"
"4929","ENSG00000119326","8727","CTNNAL1","chr9"
"4930","ENSG00000119328","54942","ABITRAM","chr9"
"4931","ENSG00000119333","89891","DYNC2I2","chr9"
"4932","ENSG00000119335","6418","SET","chr9"
"4933","ENSG00000119383","5524","PTPA","chr9"
